Linux 4.18.0-477.15.1.el8_8.x86_64 (tbm03) 	08/10/2023 	_x86_64_	(32 CPU)

11:55:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:03:47 PM 493784364 494874220  33729708      6.39        24  14255768  71630200     13.37   3551668  22045552         0
12:03:49 PM 493816020 494905844  33698052      6.39        24  14218280  71637076     13.37   3551640  22014140         0
12:03:51 PM 493774828 494864516  33739244      6.40        24  14255756  71804744     13.40   3551676  22055684         0
12:03:53 PM 493806360 494895984  33707712      6.39        24  14218256  71589608     13.36   3551612  22023472         0
12:03:55 PM 493802148 494891692  33711924      6.39        24  14218084  71540840     13.35   3551616  22028628         0
12:03:57 PM 493759524 494848936  33754548      6.40        24  14255888  71715232     13.38   3551600  22071280         0
12:03:59 PM 493793200 494882668  33720872      6.39        24  14218420  71718136     13.38   3551600  22037780         0
12:04:01 PM 493750536 494839992  33763536      6.40        24  14255720  71655936     13.37   3551596  22080124         0
12:04:03 PM 493782124 494871572  33731948      6.39        24  14218084  71664336     13.37   3551632  22048392         0
12:04:05 PM 493778028 494867420  33736044      6.40        24  14218428  71699248     13.38   3551616  22053240         0
12:04:07 PM 493736184 494825500  33777888      6.40        24  14255724  71767532     13.39   3551632  22095268         0
12:04:09 PM 493770972 494860228  33743100      6.40        24  14218088  71726444     13.38   3551600  22061076         0
12:04:11 PM 493726276 494815488  33787796      6.41        24  14255724  71445388     13.33   3551632  22105300         0
12:04:13 PM 493759028 494848208  33755044      6.40        24  14218248  71741152     13.39   3551600  22072484         0
12:04:15 PM 493754860 494843976  33759212      6.40        24  14218428  71628176     13.37   3551604  22076988         0
12:04:17 PM 493713512 494802540  33800560      6.41        24  14255548  71631016     13.37   3551592  22118804         0
12:04:19 PM 493744652 494833520  33769420      6.40        24  14218256  71717368     13.38   3551608  22087216         0
12:04:21 PM 493702428 494791232  33811644      6.41        24  14255720  71671000     13.37   3551604  22129924         0
12:04:23 PM 493733144 494821864  33780928      6.40        24  14218084  71602144     13.36   3551628  22098964         0
12:04:25 PM 493730252 494819024  33783820      6.40        24  14218084  71766948     13.39   3551588  22102568         0
12:04:27 PM 493683324 494771916  33830748      6.41        24  14255548  71682656     13.38   3551508  22148788         0
12:04:29 PM 493718824 494807308  33795248      6.41        24  14217924  71628596     13.37   3551436  22114656         0
12:04:31 PM 493678352 494766784  33835720      6.41        24  14255564  71708492     13.38   3551472  22154964         0
12:04:33 PM 493711740 494800164  33802332      6.41        24  14217924  71739892     13.39   3551440  22121180         0
12:04:35 PM 493705884 494794320  33808188      6.41        24  14218244  71630796     13.37   3551412  22126488         0
12:04:37 PM 493658596 494746912  33855476      6.42        24  14255376  71662920     13.37   3551436  22174276         0
12:04:39 PM 493693312 494781464  33820760      6.41        24  14218252  71657564     13.37   3551444  22139748         0
12:04:41 PM 493652116 494740136  33861956      6.42        24  14255548  71533476     13.35   3551444  22181728         0
12:04:43 PM 493683856 494771792  33830216      6.41        24  14218252  71517788     13.35   3551452  22150096         0
12:04:45 PM 493678632 494766596  33835440      6.41        24  14218248  71645836     13.37   3551440  22155132         0
12:04:47 PM 493636748 494724820  33877324      6.42        24  14255544  71547832     13.35   3551424  22197112         0
12:04:49 PM 493668892 494756892  33845180      6.42        24  14217904  71639516     13.37   3551432  22164924         0
12:04:51 PM 493628764 494716548  33885308      6.42        24  14255544  71721492     13.38   3551424  22206108         0
12:04:53 PM 493656536 494744076  33857536      6.42        24  14217952  71591280     13.36   3551392  22177596         0
12:04:55 PM 493655844 494743340  33858228      6.42        24  14217948  71556712     13.35   3551288  22179528         0
12:04:57 PM 493611380 494698908  33902692      6.43        24  14255420  71671472     13.37   3551332  22223436         0
