Linux 4.18.0-477.15.1.el8_8.x86_64 (bhm06) 	08/10/2023 	_x86_64_	(56 CPU)

05:19:00 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:29:16 AM     all     10.48      0.00     38.03      0.00      0.00     51.49
05:29:18 AM     all     10.66      0.00     37.18      0.00      0.00     52.16
05:29:20 AM     all     10.62      0.00     38.29      0.00      0.00     51.09
05:29:22 AM     all     10.22      0.00     38.02      0.00      0.00     51.76
05:29:24 AM     all     10.07      0.00     37.92      0.00      0.00     52.01
05:29:26 AM     all     10.68      0.00     37.78      0.00      0.00     51.53
05:29:28 AM     all     10.95      0.00     37.07      0.00      0.00     51.98
05:29:30 AM     all     10.25      0.00     38.02      0.00      0.00     51.72
05:29:32 AM     all     10.39      0.00     37.62      0.00      0.00     51.99
05:29:34 AM     all     10.77      0.00     36.74      0.00      0.00     52.50
05:29:36 AM     all     10.25      0.00     38.35      0.00      0.00     51.40
05:29:38 AM     all     10.33      0.00     37.80      0.00      0.00     51.87
05:29:40 AM     all     10.54      0.00     37.83      0.00      0.00     51.63
05:29:42 AM     all     10.33      0.00     38.07      0.00      0.00     51.60
05:29:44 AM     all     10.37      0.00     38.60      0.00      0.00     51.03
05:29:46 AM     all     10.07      0.00     38.75      0.00      0.00     51.18
05:29:48 AM     all     11.12      0.00     36.54      0.00      0.00     52.34
05:29:50 AM     all     10.79      0.00     38.38      0.00      0.00     50.82
05:29:52 AM     all     10.30      0.00     37.89      0.00      0.00     51.80
05:29:54 AM     all     10.61      0.00     37.44      0.00      0.00     51.96
05:29:56 AM     all     10.54      0.00     38.46      0.00      0.00     51.00
05:29:58 AM     all     10.22      0.00     39.06      0.00      0.00     50.72
05:30:00 AM     all     10.38      0.00     38.64      0.00      0.00     50.98
05:30:02 AM     all     10.61      0.00     37.93      0.00      0.00     51.46
05:30:04 AM     all     10.37      0.00     38.60      0.00      0.00     51.03
05:30:06 AM     all     10.25      0.00     38.31      0.00      0.00     51.43
05:30:08 AM     all     10.79      0.00     37.98      0.00      0.00     51.23
05:30:10 AM     all     10.18      0.00     38.20      0.00      0.00     51.61
05:30:12 AM     all     10.58      0.00     37.30      0.00      0.00     52.12
05:30:14 AM     all     10.26      0.00     37.60      0.00      0.00     52.14
05:30:16 AM     all     10.58      0.00     37.25      0.00      0.00     52.17
05:30:18 AM     all     10.54      0.00     37.36      0.00      0.00     52.10
05:30:20 AM     all     10.07      0.00     38.30      0.00      0.00     51.63
05:30:22 AM     all     10.85      0.00     37.57      0.00      0.00     51.59
05:30:24 AM     all     10.59      0.00     37.70      0.00      0.00     51.71
05:30:26 AM     all     10.25      0.00     38.08      0.00      0.00     51.67
05:30:28 AM     all     10.60      0.00     37.42      0.00      0.00     51.98
05:30:30 AM     all     10.43      0.00     37.95      0.00      0.00     51.63
05:30:32 AM     all     10.34      0.00     38.63      0.00      0.00     51.03
05:30:34 AM     all     10.29      0.00     38.34      0.00      0.00     51.37
05:30:36 AM     all     10.72      0.00     36.64      0.00      0.00     52.64
05:30:38 AM     all     10.35      0.00     38.07      0.00      0.00     51.58
05:30:40 AM     all     10.27      0.00     37.25      0.00      0.00     52.48
05:30:42 AM     all     10.36      0.00     37.66      0.00      0.00     51.99
05:30:44 AM     all     10.63      0.00     38.44      0.00      0.00     50.93
05:30:46 AM     all     10.55      0.00     38.52      0.00      0.00     50.92
05:30:48 AM     all     10.52      0.00     37.61      0.00      0.00     51.87
05:30:50 AM     all     10.81      0.00     38.06      0.00      0.00     51.13
05:30:52 AM     all     10.28      0.00     38.59      0.00      0.00     51.13
05:30:54 AM     all     10.62      0.00     37.82      0.00      0.00     51.56
05:30:56 AM     all     10.53      0.00     37.94      0.00      0.00     51.52
05:30:58 AM     all     10.40      0.00     37.97      0.00      0.00     51.63
05:31:00 AM     all     10.25      0.00     37.97      0.00      0.00     51.78
05:31:02 AM     all     10.64      0.00     38.12      0.00      0.00     51.25
05:31:04 AM     all     10.55      0.00     38.22      0.00      0.00     51.23
05:31:06 AM     all     10.26      0.00     37.85      0.00      0.00     51.89
05:31:08 AM     all     10.60      0.00     37.21      0.00      0.00     52.19
05:31:10 AM     all     10.49      0.00     37.80      0.00      0.00     51.71
05:31:12 AM     all     10.71      0.00     38.03      0.00      0.00     51.26
05:31:14 AM     all     10.13      0.00     38.18      0.00      0.00     51.69
05:31:16 AM     all     10.22      0.00     38.72      0.00      0.00     51.06
05:31:18 AM     all     10.79      0.00     37.30      0.00      0.00     51.91
05:31:20 AM     all     10.39      0.00     37.72      0.00      0.00     51.89
05:31:22 AM     all     10.62      0.00     37.57      0.00      0.00     51.81
05:31:24 AM     all     10.49      0.00     37.91      0.00      0.00     51.61
05:31:26 AM     all     10.08      0.00     37.79      0.00      0.00     52.13
05:31:28 AM     all     10.61      0.00     38.04      0.00      0.00     51.35
05:31:30 AM     all     10.66      0.00     37.96      0.00      0.00     51.38
05:31:32 AM     all     10.55      0.00     37.48      0.00      0.00     51.97
05:31:34 AM     all     10.17      0.00     38.32      0.00      0.00     51.51
05:31:36 AM     all     10.45      0.00     38.27      0.00      0.00     51.28
05:31:38 AM     all     10.91      0.00     38.07      0.00      0.00     51.01
05:31:40 AM     all     10.47      0.00     37.95      0.00      0.00     51.57
05:31:42 AM     all     10.35      0.00     36.92      0.00      0.00     52.73
05:31:44 AM     all     10.51      0.00     37.32      0.00      0.00     52.17
05:31:46 AM     all     10.09      0.00     38.19      0.00      0.00     51.71
05:31:48 AM     all     10.08      0.00     37.73      0.00      0.00     52.20
